Date,Date,Open,High,Low,Close,Volume,Volume (Currency),Weighted Price
2018-01-06,2018-01-06,16988.3,17245.0,16167.5,17088.0,2126.63751312,35480124.630044,16683.672892608
2018-01-07,2018-01-07,17083.5,17100.0,15665.0,16128.4,2270.3585095,37293409.038193,16426.220300514
2018-01-08,2018-01-08,16116.9,16130.1,13500.0,15022.6,3925.06457211,59097957.441231,15056.556740788
2018-01-09,2018-01-09,15016.9,15440.7,14230.7,14516.6,2991.73717995,44545152.110013,14889.393496376
2018-01-10,2018-01-10,14508.5,14979.0,13525.0,14937.6,3993.36981293,56610267.684115,14176.064410769
2018-01-11,2018-01-11,14907.0,15055.0,12848.0,13647.9,1991.79183395,27099780.14137,13605.729112579
2018-01-12,2018-01-12,13503.0,13503.0,13503.0,13503.0,0.009,121.527,13503.0
2018-01-13,2018-01-13,14101.0,17200.0,13266.3,14400.0,1182.99248664,17086982.065532,14443.863556618
2018-01-14,2018-01-14,14396.3,14500.0,13209.6,13711.2,2431.9326854,33420533.68043,13742.376127871
2018-01-15,2018-01-15,13711.1,14438.9,13207.0,13608.3,3531.91047996,49054873.577888,13889.047827295
2018-01-16,2018-01-16,13606.9,13633.1,10111.0,11533.2,10021.9238199,118108319.55431,11784.9947452
2018-01-17,2018-01-17,11533.9,11968.9,9225.0,11185.0,11353.58997941,119714197.6887,10544.17130668
2018-01-18,2018-01-18,11191.0,12262.3,10750.0,11286.0,7722.09300421,89641210.142619,11608.408509681
2018-01-19,2018-01-19,11286.1,12040.0,11036.4,11598.1,5520.73432895,63862193.610654,11567.699114911
2018-01-20,2018-01-20,11599.0,13079.6,11539.1,12845.9,4920.58015559,61599184.339732,12518.683243022
2018-01-21,2018-01-21,12845.6,12845.8,11146.0,11556.0,4677.56308317,55421192.095443,11848.304578692
2018-01-22,2018-01-22,11588.6,11968.5,10000.0,10811.3,5133.10693755,56090874.798632,10927.275718398
2018-01-23,2018-01-23,10811.3,11456.0,10001.0,10849.9,5067.02305339,54705475.061837,10796.373824516
2018-01-24,2018-01-24,10850.0,11500.0,10529.0,11419.8,4225.93491648,46672894.442544,11044.39499542
2018-01-25,2018-01-25,11419.8,11760.1,10899.0,11159.3,4650.91325434,52501975.7452,11288.530418452
2018-01-26,2018-01-26,11156.1,11634.2,10320.0,11080.8,7680.88569038,83836003.14752,10914.887491754
2018-01-27,2018-01-27,11080.0,11595.0,10850.0,11386.0,5943.53837824,67035524.158128,11278.723193503
2018-01-28,2018-01-28,11380.2,11932.7,11100.0,11629.9,5972.08431347,69394800.197957,11619.862774114
2018-01-29,2018-01-29,11633.9,11708.3,11015.0,11150.0,4564.69002336,51398551.916589,11260.031163903
2018-01-30,2018-01-30,11149.9,11200.0,9750.3,9979.8,10691.89936727,110770182.46979,10360.196880348
2018-01-31,2018-01-31,9985.0,10331.0,9513.1,10101.6,8868.30880981,88044146.245407,9927.952232337
2018-02-01,2018-02-01,10105.5,10180.9,8525.3,9037.6,14776.41408143,136494514.7997,9237.3233483784
2018-02-02,2018-02-02,9043.0,9155.0,7606.0,8772.6,18572.4774678,157095377.21591,8458.5041219337
2018-02-03,2018-02-03,8770.0,9463.7,8022.9,9167.9,8118.50885987,72257237.881125,8900.3090503842
2018-02-04,2018-02-04,9178.0,9346.0,7751.2,8130.2,8207.38976495,69144867.561308,8424.7086517804
2018-02-05,2018-02-05,8146.8,8349.3,6530.0,6843.7,20676.95141616,151212423.84491,7313.0908324681
2018-02-06,2018-02-06,6843.8,7950.0,5850.0,7677.0,28799.36011009,195189664.96459,6777.5695091296
2018-02-07,2018-02-07,7676.1,8644.1,7125.1,7559.0,15778.71540719,124719072.91244,7904.2602451409
2018-02-08,2018-02-08,7552.4,8638.4,7543.0,8231.0,11216.69802972,91995264.751265,8201.6351432045
2018-02-09,2018-02-09,8239.7,8749.9,7750.0,8680.1,10628.39103972,87981672.6623,8277.9860407373
2018-02-10,2018-02-10,8680.9,9080.0,8139.4,8555.7,10633.65116159,91709980.554953,8624.5052768159
2018-02-11,2018-02-11,8554.0,8555.4,7842.0,8056.1,8492.77130232,69373382.848841,8168.5212493465
2018-02-12,2018-02-12,8063.8,8988.0,8059.9,8906.3,7894.13699232,68301186.846411,8652.141065307
